Genbank Accession,Genetic Information Source,Genus,Species,Virus ('organism name'),Acronym (of organism name),Isolate,Complete or partial genome,Sequence length (bp),Gene,Submitting organisation ,Geogrpahical location sampled,Host,Collection date,Publication DOI,Paper's first author (family name),Paper title,Year paper published ,In vivo or in vitro study,Phylogenetic analysis (yes/no),Platforms and tools (sequencing and other),Notes ,Isolate at ACDP (yes/no),File name,
MH152408,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,SDDV_2016,partial,1551,ORF_030L gene (complete cds),"King Mongkut's University of Technology Thonburi (KMUTT), Microbiology, Thailand",Thailand,Lates calcarifer,2016,DOI: 10.1111/jfd.12915,Senapin,Mortality from scale drop disease in farmed Lates calcarifer in Southeast Asia,2018,,"
Major capsid protein sequences used for phylogenetic analysis were 3 sequences of SDDV from this study, 1 sequence obtained 
from Singaporean SDDV (GenBank KR139659), 2 red seabream 
iridovirus (RSIV) sequences (GenBank AB080362 and AY285746), 
2 turbot reddish iridovirus (TBIV) sequences (GenBank AY590687 
and HM596017) and 2 infectious spleen and kidney necrosis virus 
(ISKNV) sequences (GenBank KY440040 and AB666338). 

The MCP sequence of Ranavirus (KU507315) was included as an outgroup. A 
maximumlikelihood phylogenetic tree was constructed following multiple sequence alignments using Clustal W of MEGA 7 with a 
bootstrap of 1000 replicates.","DNA sequence assembly was carried out using Geneious program 
(Biomatters Ltd). Deduced amino acid sequences were translated 
from DNA sequences using an online server of ExPASy.Homology of the nucleotide and amino acid 
sequences to sequences in the GenBank database was determined using the Blast search tool.","From GenbanK:
Mol Type: DNA",,,
OP628212,GenBank,Megalocytivirus,Unclassified ,Hybrid snakehead megalocytivirus,Not given,GZC2108301,partial,1466,MCP (partial cds),"College of Animal Science and Technology, Zhongkai University of Agriculture and Engineering, China",China,Channidae,30/08/2021,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Isolate: kidney, abdominal cavity, liver, spleen
Submitters Names
Caiyi,W.C.",,,
"	
NC_005946",GenBank,Ranavirus,Frog Virus 3,Frog Virus 3,FV3,None given,Complete ,105903,"98 ORFs found with 84 having corresponding homologues in other iridoviruses infecting lower vertebrates (tabulated in paper).

18 ORFs were common to FV3, TFV, LCDV1, ISKNV, and CIV. 

14  ORFs unique to FV3  of which 2 shared conserved domains with known proteins.","National Center for Biotechnology Information, NIH, USA",None given,Lithobates pipiens,None given ,10.1016/j.virol.2004.02.019,Tan,"Comparative genomic analyses of frog virus 3, type species of the genus Ranavirus (family Iridoviridae)",2004,"Viruses and cells A clone of a '5 azacytidine-resistant' (aza-Cr) mutant of FV3 was obtained from a collaborator and propagated.

A clone of wild-type FV3 was also propagated in FHM cell monolayers in an identical manner.

Isolation of FV3 genomic fragments Genomic DNA from FV3 and aza-Cr mutant was isolated from infected FHM cells.","Yes -  aligned MCP gene of 13 iridovirus using Clustal-X. An unweighted parsimony bootstrap consensus tree was obtained by heuristic search with 100 bootstrap replicates using PAUP 4.0. 

Also analyzed six other highly conserved full-length protein sequences from FV3, TFV, LCDV1, ISKNV, and CIV using PAUP 4.0.","Cloned FV3 genomic DNA was sequenced using the
primer walking method and transposon tagging system. 

Each cloned restriction fragment was linked by sequencing overlapping KpnI and HindIII fragments, or sequencing PCR products spanning the region between two fragments.

They sequenced both strands of the entire FV3 genome. Each nucleotide was sequenced between 2 and 16 times.

They identified putitive ORFs by computer analysis using MacVector (Oxford Molecular). ","Paper logged sites accession number AY54848 (not NC_005946) which is included in this spreadsheet. Both accession entries in Genbank have the same data parameters (for example, size).  

From Genbank:
Nuc Completeness: complete
Mol Type: DNA
PubMed: 1 publication
BioProject: 1 project
Submitters Names
Tan,W.G., Barkman,T.J., Gregory Chinchar,V., Essani,K., Tan,W.G.H., Chinchar,V.G.",No ,NC_005946.1,
OL014471,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,UCD,partial,1362,MCP (complete cds),"School of Veterinary Medicine, University of California in Davis, Medicine and Epidemiology, USA",USA: Southern CA,Oreochromis,2019-03,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names
Shahin,K.",,,
OL014472,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,UCD,partial,2916,DNA polymerase (complete cds),"School of Veterinary Medicine, University of California in Davis, Medicine and Epidemiology, USA",USA: Southern CA,Oreochromis,2019-03,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names
Shahin,K.",,,
NC_027778,GenBank,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,SDDV,C4575,complete,124244,N/A,"National Center for Biotechnology Information, NIH, USA",Singapore,Lates calcarifer,2010-12,10.1371/journal.ppat.1005074,De Groof,A Novel Virus Causes Scale Drop Disease in Lates calcarifer,2015,In vivo - Isolated SDDV from Lates calcarfier and then did an infection trial infecting L. calcarifer by injection with the isolate causing infection. ,Yes - From Paper 'Phylogenetic analysis based on the deduced amino acid sequences ofthe 26 conserved proteins'. Concatonated whole genome analysis but also did a phylogenetic analysis using the MCP genes. ,"The VIDISCA library of sera of fish affected by scale drop syndrome was sequenced via Roche-454 next generation sequencing, enabling identification and characterization pf the virus. 

The near complete genome sequence of the virus was obtained via genome walking. ","From Genbank:
Says 'partial genome' in heading
Nuc Completeness: complete
Mol Type: DNA",,NC_027778.1,
MH764410,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_21,partial,156,DNA polymerase (complete cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764411,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_28,partial,166,DNA polymerase (partial cds) ,"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNASubmitters Names
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764412,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,Stb Fish_32,partial,166,DNA polymerase (partial cds) ,"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Situbondo,Lates calcarifer,2010-04,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764413,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,Lpg Fish_3,partial,156,DNA polymerase (partial cds) ,"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Lampung,Cromileptes altivelis,2010-02,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764414,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_21,partial,1265,MCP (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764415,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_23,partial,1270,MCP (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764416,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_27,partial,1274,MCP (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764417,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_28,partial,1271,MCP (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764418,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,Btm Fish_35,partial,1313,MCP (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Batam,Epinephelus fuscoguttatus,2010-08,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764419,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,Lpg Fish_3,partial,500,ATPase (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Lampung,Cromileptes altivelis,2010-02,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764420,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_23,partial,500,ATPase (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764421,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_26,partial,500,ATPase (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764422,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_27,partial,500,ATPase (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764423,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_28,partial,500,ATPase (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764424,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_29,partial,500,ATPase (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764425,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,Btm Fish_35,partial,500,ATPase (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Batam,Cromileptes altivelis,2010-08,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764426,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,Lpg Fish_9,partial,368,ATPase (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Lampung,Cromileptes altivelis,2010-04,N/A,N/A,N/A,N/A,,N/A,N/A,"The number of base pairs is unexpected for this isolate, the submitters have submitted several other ATPase genes from unclasified isolates of megalocytiviruses, all of which are 500bp (partial cds) but this one is 368bp (partical cds). 

From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764427,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,Lpg Fish_3,partial,293,"CY15 amplicon protein gene, (partial cds)","Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Lampung,Cromileptes altivelis,2010-02,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764428,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_21,partial,293,"CY15 amplicon protein gene, (partial cds)","Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764429,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_29,partial,293,"CY15 amplicon protein gene, (partial cds)","Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764430,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,Stb Fish_32,partial,293,"CY15 amplicon protein gene, (partial cds)","Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Situbondo,Lates calcarifer,2010-04,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
MH764431,GenBank,Megalocytivirus,Unclassified ,Megalocytivirus spp.,Not given,KJw Fish_21,partial,716, ORF022L and ORF023R genes (partial cds),"Universitas Gadjah Mada, Department of Fisheries, Faculty of Agriculture, Indonesia",Indonesia: Karimun Jawa,Cromileptes altivelis,2010-09,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Mol Type: DNA
Submitters Names:
Murwantoko, Sari,D.W.K., Handayani,C.R., Whittington,R.J.",,,
